architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Example-Guided_LLM_Scoring,5,Appliance,0.3862,0.381,0.6032,0.7778,0.1583,0.2346,1.482,0.1656,0.1441,0.158,0.1656,0.2253,0.2155,0.2403,0.2553,63,0,0,gemini
Example-Guided_LLM_Scoring,5,Shower,0.7471,0.7845,0.7069,0.9828,0.1042,0.1566,1.5029,0.0948,0.0729,0.1101,0.1389,0.1323,0.1066,0.1828,0.1894,58,0,0,gemini
LLM-Parameterized_Reference_Scoring,1,Overall,0.9214,0.9333,0.9282,0.9846,0.0474,0.0991,2.0907,0.0686,0.09,0.0109,0.0199,0.1155,0.1466,0.0374,0.0554,195,0,195,gemini
LLM-Parameterized_Reference_Scoring,1,HVAC,0.9714,0.9786,0.9571,1.0,0.0292,0.0558,1.911,0.044,0.0429,0.0,0.03,0.0748,0.0724,0.0,0.0402,70,0,0,gemini
LLM-Parameterized_Reference_Scoring,1,Appliance,0.959,0.9692,0.9692,1.0,0.0648,0.1303,2.0108,0.0961,0.1614,0.0008,0.0009,0.1461,0.2156,0.0045,0.0051,65,0,0,gemini
LLM-Parameterized_Reference_Scoring,1,Shower,0.8222,0.8417,0.85,0.95,0.0498,0.0995,1.998,0.0677,0.0678,0.0347,0.0289,0.1169,0.1157,0.0673,0.0898,60,0,0,gemini
LLM-Parameterized_Reference_Scoring,2,Overall,0.9248,0.9359,0.9333,0.9846,0.0482,0.0995,2.0643,0.0701,0.092,0.0109,0.0197,0.1162,0.1472,0.0374,0.0553,195,0,195,gemini
LLM-Parameterized_Reference_Scoring,2,HVAC,0.981,0.9857,0.9714,1.0,0.0302,0.0572,1.894,0.0464,0.0451,0.0,0.0293,0.0772,0.0746,0.0,0.0397,70,0,0,gemini
LLM-Parameterized_Reference_Scoring,2,Appliance,0.959,0.9692,0.9692,1.0,0.066,0.1306,1.9788,0.0979,0.1648,0.0006,0.0007,0.1466,0.2161,0.0041,0.0048,65,0,0,gemini
LLM-Parameterized_Reference_Scoring,2,Shower,0.8222,0.8417,0.85,0.95,0.0498,0.0995,1.998,0.0677,0.0678,0.0347,0.0289,0.1169,0.1157,0.0673,0.0898,60,0,0,gemini
LLM-Parameterized_Reference_Scoring,3,Overall,0.9248,0.9359,0.9333,0.9846,0.0475,0.0998,2.1011,0.0685,0.0905,0.0108,0.0202,0.1158,0.1479,0.0374,0.0565,195,0,195,gemini
LLM-Parameterized_Reference_Scoring,3,HVAC,0.981,0.9857,0.9714,1.0,0.0286,0.0561,1.9615,0.0425,0.042,0.0,0.0297,0.0749,0.0734,0.0,0.04,70,0,0,gemini
LLM-Parameterized_Reference_Scoring,3,Appliance,0.959,0.9692,0.9692,1.0,0.0655,0.1314,2.0061,0.0971,0.1637,0.0005,0.0006,0.1469,0.2178,0.0034,0.0042,65,0,0,gemini
LLM-Parameterized_Reference_Scoring,3,Shower,0.8222,0.8417,0.85,0.95,0.0502,0.1001,1.994,0.0677,0.0678,0.0347,0.0305,0.1169,0.1157,0.0673,0.0922,60,0,0,gemini
LLM-Parameterized_Reference_Scoring,4,Overall,0.9248,0.9359,0.9333,0.9846,0.0491,0.1023,2.0835,0.0717,0.0948,0.0107,0.0194,0.1191,0.1524,0.0373,0.055,195,0,195,gemini
LLM-Parameterized_Reference_Scoring,4,HVAC,0.981,0.9857,0.9714,1.0,0.031,0.0615,1.9839,0.0477,0.047,0.0,0.0292,0.0828,0.0822,0.0,0.039,70,0,0,gemini
LLM-Parameterized_Reference_Scoring,4,Appliance,0.959,0.9692,0.9692,1.0,0.0681,0.1348,1.9794,0.1012,0.1711,0.0001,0.0001,0.1503,0.2238,0.0007,0.0007,65,0,0,gemini
LLM-Parameterized_Reference_Scoring,4,Shower,0.8222,0.8417,0.85,0.95,0.0498,0.0995,1.998,0.0677,0.0678,0.0347,0.0289,0.1169,0.1157,0.0673,0.0898,60,0,0,gemini
LLM-Parameterized_Reference_Scoring,5,Overall,0.9214,0.9333,0.9282,0.9846,0.0484,0.1013,2.093,0.0701,0.0933,0.0108,0.0195,0.1172,0.1512,0.0373,0.0552,195,0,195,gemini
LLM-Parameterized_Reference_Scoring,5,HVAC,0.9714,0.9786,0.9571,1.0,0.0288,0.0548,1.9028,0.0432,0.0425,0.0,0.0293,0.0728,0.0715,0.0,0.0398,70,0,0,gemini
LLM-Parameterized_Reference_Scoring,5,Appliance,0.959,0.9692,0.9692,1.0,0.0683,0.1356,1.9854,0.1011,0.1715,0.0003,0.0003,0.1512,0.2251,0.0021,0.0021,65,0,0,gemini
LLM-Parameterized_Reference_Scoring,5,Shower,0.8222,0.8417,0.85,0.95,0.0498,0.0995,1.998,0.0677,0.0678,0.0347,0.0289,0.1169,0.1157,0.0673,0.0898,60,0,0,gemini
Direct_LLM_Scoring,1,Overall,0.0017,-0.0103,0.3231,0.6359,0.2398,0.3064,1.2777,0.2524,0.2904,0.1863,0.2301,0.3224,0.3679,0.2318,0.2872,195,0,195,gptoss
