model,comparison,scope,metric,mean_ah,mean_base,mean_diff,n_pairs,n_nonzero_diff,n_ah_better,n_base_better,p_value,cliff_delta_ah_minus_base,cliff_interp,statistic,p_holm,family,significant_holm
qwen,AH vs LU-corpus,Overall,top1,0.8964102564102565,0.9538461538461539,-0.05743589743589743,195,26,4,22,0.0013235129588974914,-0.10832347140039447,negligible,50.0,0.01058810367117993,overall12,True
qwen,AH vs LU-corpus,Overall,mae,0.07175705128205127,0.025504273504273502,0.046252777777777775,195,163,30,133,2.953576247081309e-15,0.4256673241288626,medium,2154.5,3.24893387178944e-14,overall12,True
qwen,AH vs LU-corpus,HVAC,kendall_tau,0.879047619047619,0.9619047619047618,-0.08285714285714285,70,15,2,13,0.011122511741423853,-0.14979591836734693,small,19.0,0.26694028179417245,bytype36,False
qwen,AH vs LU-corpus,HVAC,top1,0.8714285714285714,0.9571428571428572,-0.08571428571428572,70,10,1,9,0.008800868953713086,-0.1236734693877551,negligible,2.0,0.22002172384282714,bytype36,False
qwen,AH vs LU-corpus,HVAC,mae,0.05664464285714285,0.026119047619047618,0.03052559523809524,70,70,13,57,1.4836885791744838e-06,0.4585714285714286,medium,420.0,4.8961723112757967e-05,bytype36,True
qwen,AH vs LU-corpus,Appliance,kendall_tau,0.9056410256410257,0.9692307692307692,-0.06358974358974358,65,10,3,7,0.13864269219435685,-0.07692307692307693,negligible,13.0,1.0,bytype36,False
qwen,AH vs LU-corpus,Appliance,top1,0.9292307692307692,0.9846153846153847,-0.05538461538461538,65,6,1,5,0.06677920499969527,-0.07644970414201184,negligible,2.0,1.0,bytype36,False
qwen,AH vs LU-corpus,Appliance,mae,0.11764102564102563,0.02861538461538462,0.08902564102564102,65,65,13,52,3.6288875501151644e-07,0.6208284023668639,large,294.0,1.233821767039156e-05,bytype36,True
qwen,AH vs LU-corpus,Shower,kendall_tau,0.8511111111111112,0.8777777777777779,-0.026666666666666655,60,11,2,9,0.12175817330553743,-0.1322222222222222,negligible,23.5,1.0,bytype36,False
qwen,AH vs LU-corpus,Shower,top1,0.8899999999999999,0.9166666666666666,-0.02666666666666666,60,10,2,8,0.2660448616757227,-0.12083333333333333,negligible,17.0,1.0,bytype36,False
qwen,AH vs LU-corpus,Shower,mae,0.03968055555555556,0.021416666666666664,0.01826388888888889,60,28,4,24,0.0004139745832787943,0.2861111111111111,small,91.0,0.011177313748527446,bytype36,True
qwen,AH vs FD+time,Overall,kendall_tau,0.8793162393162394,0.900854700854701,-0.02153846153846153,195,44,16,28,0.5930460044707937,-0.06456278763971071,negligible,536.0,1.0,overall12,False
qwen,AH vs FD+time,Overall,top1,0.8964102564102565,0.9384615384615385,-0.04205128205128205,195,29,6,23,0.03707730520244536,-0.09143984220907297,negligible,122.0,0.29661844161956286,overall12,False
qwen,AH vs FD+time,Overall,mae,0.07175705128205127,0.06249572649572649,0.009261324786324784,195,167,95,72,0.5573135316764638,-0.012071005917159764,negligible,7561.5,1.0,overall12,False
qwen,AH vs FD+time,HVAC,kendall_tau,0.879047619047619,0.9333333333333332,-0.054285714285714284,70,18,5,13,0.3970096710005149,-0.10142857142857142,negligible,74.0,1.0,bytype36,False
qwen,AH vs FD+time,HVAC,top1,0.8714285714285714,0.9571428571428572,-0.08571428571428572,70,11,1,10,0.038388146739653205,-0.1236734693877551,negligible,10.0,1.0,bytype36,False
qwen,AH vs FD+time,HVAC,mae,0.05664464285714285,0.07071428571428572,-0.014069642857142859,70,68,42,26,0.06920138880031372,-0.1636734693877551,small,932.0,1.0,bytype36,False
